Contest Year,R/O,Country,Artist,Song,Language,Points,Place
1956,1,Netherlands,Jetty Paerl,"""De vogels van Holland""",Dutch
1956,2,Switzerland,Lys Assia,"""Das alte Karussell""",German
1956,3,Belgium,Fud Leclerc,"""Messieurs les noyés de la Seine""",French
1956,4,Germany,Walter Andreas Schwarz,"""Im Wartesaal zum großen Glück""",German
1956,5,France,Mathé Altéry,"""Le temps perdu""",French
1956,6,Luxembourg,Michèle Arnaud,"""Ne crois pas""",French
1956,7,Italy,Franca Raimondi,"""Aprite le finestre""",Italian
1956,8,Netherlands,Corry Brokken,"""Voorgoed voorbij""",Dutch
1956,9,Switzerland,Lys Assia,"""Refrain""",French
1956,10,Belgium,Mony Marc,"""Le plus beau jour de ma vie""",French
1956,11,Germany,Freddy Quinn,"""So geht das jede Nacht""",German
1956,12,France,Dany Dauberson,"""Il est là""",French
1956,13,Luxembourg,Michèle Arnaud,"""Les amants de minuit""",French
1956,14,Italy,Tonina Torrielli,"""Amami se vuoi""",Italian
1957,1,Belgium,Bobbejaan Schoepen,"""Straatdeuntje""",Dutch,5,8
1957,2,Luxembourg,Danièle Dupré,"""Amours mortes (tant de peine)""",French,8,4
1957,3,United Kingdom,Patricia Bredin,"""All""",English,6,7
1957,4,Italy,Nunzio Gallo,"""Corde della mia chitarra""",Italian,7,6
1957,5,Austria,Bob Martin,"""Wohin, kleines Pony?""",German,3,10
1957,6,Netherlands,Corry Brokken,"""Net als toen""",Dutch,31,1
1957,7,Germany,Margot Hielscher,"""Telefon, Telefon""",German,8,4
1957,8,France,Paule Desjardins,"""La belle amour""",French,17,2
1957,9,Denmark,Birthe Wilke and Gustav Winckler,"""Skibet skal sejle i nat""",Danish,10,3
1957,10,Switzerland,Lys Assia,"""L'enfant que j'étais""",French,5,8
1958,1,Italy,Domenico Modugno,"""Nel blu, dipinto di blu""",Italian,13,3
1958,2,Netherlands,Corry Brokken,"""Heel de wereld""",Dutch,1,9
1958,3,France,André Claveau,"""Dors, mon amour""",French,27,1
1958,4,Luxembourg,Solange Berry,"""Un grand amour""",French,1,9
1958,5,Sweden,Alice Babs,"""Lilla stjärna""",Swedish,10,4
1958,6,Denmark,Raquel Rastenni,"""Jeg rev et blad ud af min dagbog""",Danish,3,8
1958,7,Belgium,Fud Leclerc,"""Ma petite chatte""",French,8,5
1958,8,Germany,Margot Hielscher,"""Für zwei Groschen Musik""",German,5,7
1958,9,Austria,Liane Augustin,"""Die ganze Welt braucht Liebe""",German,8,5
1958,10,Switzerland,Lys Assia,"""Giorgio""","German, Italian",24,2
1959,1,France,Jean Philippe,"""Oui, oui, oui, oui""",French,15,3
1959,2,Denmark,Birthe Wilke,"""Uh, jeg ville ønske jeg var dig""",Danish,12,5
1959,3,Italy,Domenico Modugno,"""Piove (Ciao, ciao bambina)""",Italian,9,6
1959,4,Monaco,Jacques Pills,"""Mon ami Pierrot""",French,1,11
1959,5,Netherlands,Teddy Scholten,"""Een beetje""",Dutch,21,1
1959,6,Germany,Alice and Ellen Kessler,"""Heute Abend wollen wir tanzen geh'n""",German,5,8
1959,7,Sweden,Brita Borg,"""Augustin""",Swedish,4,9
1959,8,Switzerland,Christa Williams,"""Irgendwoher""",German,14,4
1959,9,Austria,Ferry Graf,"""Der K und K Kalypso aus Wien""",German,4,9
1959,10,United Kingdom,Pearl Carr and Teddy Johnson,"""Sing, Little Birdie""",English,16,2
1959,11,Belgium,Bob Benny,"""Hou toch van mij""",Dutch,9,6
1960,1,United Kingdom,Bryan Johnson,"""Looking High, High, High""",English,25,2
1960,2,Sweden,Siw Malmkvist,"""Alla andra får varann""",Swedish,4,10
1960,3,Luxembourg,Camillo Felgen,"""So laang we's du do bast""",Luxembourgish,1,13
1960,4,Denmark,Katy Bødtger,"""Det var en yndig tid""",Danish,4,10
1960,5,Belgium,Fud Leclerc,"""Mon amour pour toi""",French,9,6
1960,6,Norway,Nora Brockstedt,"""Voi Voi""",Norwegian,11,4
1960,7,Austria,Harry Winter,"""Du hast mich so fasziniert""",German,6,7
1960,8,Monaco,François Deguelt,"""Ce soir-là""",French,15,3
1960,9,Switzerland,Anita Traversi,"""Cielo e terra""",Italian,5,8
1960,10,Netherlands,Rudi Carrell,"""Wat een geluk""",Dutch,2,12
1960,11,Germany,Wyn Hoop,"""Bonne nuit ma chérie""",German,11,4
1960,12,Italy,Renato Rascel,"""Romantica""",Italian,5,8
1960,13,France,Jacqueline Boyer,"""Tom Pillibi""",French,32,1
1961,1,Spain,Conchita Bautista,"""Estando contigo""",Spanish,8,9
1961,2,Monaco,Colette Deréal,"""Allons, allons les enfants""",French,6,10
1961,3,Austria,Jimmy Makulis,"""Sehnsucht""",German,1,15
1961,4,Finland,Laila Kinnunen,"""Valoa ikkunassa""",Finnish,6,10
1961,5,Yugoslavia,Ljiljana Petrović,"""Neke davne zvezde"" (Неке давне звезде)",Serbo-Croatian,9,8
1961,6,Netherlands,Greetje Kauffeld,"""Wat een dag""",Dutch,6,10
1961,7,Sweden,Lill-Babs,"""April, april""",Swedish,2,14
1961,8,Germany,Lale Andersen,"""Einmal sehen wir uns wieder""","German, French",3,13
1961,9,France,Jean-Paul Mauric,"""Printemps, avril carillonne""",French,13,4
1961,10,Switzerland,Franca di Rienzo,"""Nous aurons demain""",French,16,3
1961,11,Belgium,Bob Benny,"""September, gouden roos""",Dutch,1,15
1961,12,Norway,Nora Brockstedt,"""Sommer i Palma""",Norwegian,10,7
1961,13,Denmark,Dario Campeotto,"""Angelique""",Danish,12,5
1961,14,Luxembourg,Jean-Claude Pascal,"""Nous les amoureux""",French,31,1
1961,15,United Kingdom,The Allisons,"""Are You Sure?""",English,24,2
1961,16,Italy,Betty Curtis,"""Al di là""",Italian,12,5
1962,1,Finland,Marion Rung,"""Tipi-tii""",Finnish,4,7
1962,2,Belgium,Fud Leclerc,"""Ton nom""",French,0,13
1962,3,Spain,Victor Balaguer,"""Llámame""",Spanish,0,13
1962,4,Austria,Eleonore Schwarz,"""Nur in der Wiener Luft""",German,0,13
1962,5,Denmark,Ellen Winther,"""Vuggevise""",Danish,2,10
1962,6,Sweden,Inger Berggren,"""Sol och vår""",Swedish,4,7
1962,7,Germany,Conny Froboess,"""Zwei kleine Italiener""",German,9,6
1962,8,Netherlands,De Spelbrekers,"""Katinka""",Dutch,0,13
1962,9,France,Isabelle Aubret,"""Un premier amour""",French,26,1
1962,10,Norway,Inger Jacobsen,"""Kom sol, kom regn""",Norwegian,2,10
1962,11,Switzerland,Jean Philippe,"""Le retour""",French,2,10
1962,12,Yugoslavia,Lola Novaković,"""Ne pali svetla u sumrak"" (Не пали светла у сумрак)",Serbo-Croatian,10,4
1962,13,United Kingdom,Ronnie Carroll,"""Ring-a-Ding Girl""",English,10,4
1962,14,Luxembourg,Camillo Felgen,"""Petit bonhomme""",French,11,3
1962,15,Italy,Claudio Villa,"""Addio, addio""",Italian,3,9
1962,16,Monaco,François Deguelt,"""Dis rien""",French,13,2
1963,1,United Kingdom,Ronnie Carroll,"""Say Wonderful Things""",English,28,4
1963,2,Netherlands,Annie Palmen,"""Een speeldoos""",Dutch,0,13
1963,3,Germany,Heidi Brühl,"""Marcel""",German,5,9
1963,4,Austria,Carmela Corren,"""Vielleicht geschieht ein Wunder""","German, English",16,7
1963,5,Norway,Anita Thallaug,"""Solhverv""",Norwegian,0,13
1963,6,Italy,Emilio Pericoli,"""Uno per tutte""",Italian,37,3
1963,7,Finland,Laila Halme,"""Muistojeni laulu""",Finnish,0,13
1963,8,Denmark,Grethe and Jørgen Ingmann,"""Dansevise""",Danish,42,1
1963,9,Yugoslavia,Vice Vukov,"""Brodovi"" (Бродови)",Serbo-Croatian,3,11
1963,10,Switzerland,Esther Ofarim,"""T'en va pas""",French,40,2
1963,11,France,Alain Barrière,"""Elle était si jolie""",French,25,5
1963,12,Spain,José Guardiola,"""Algo prodigioso""",Spanish,2,12
1963,13,Sweden,Monica Zetterlund,"""En gång i Stockholm""",Swedish,0,13
1963,14,Belgium,Jacques Raymond,"""Waarom?""",Dutch,4,10
1963,15,Monaco,Françoise Hardy,"""L'amour s'en va""",French,25,5
1963,16,Luxembourg,Nana Mouskouri,"""À force de prier""",French,13,8
1964,1,Luxembourg,Hugues Aufray,"""Dès que le printemps revient""",French,14,4
1964,2,Netherlands,Anneke Grönloh,"""Jij bent mijn leven""",Dutch,2,10
1964,3,Norway,Arne Bendiksen,"""Spiral""",Norwegian,6,8
1964,4,Denmark,Bjørn Tidmand,"""Sangen om dig""",Danish,4,9
1964,5,Finland,Lasse Mårtenson,"""Laiskotellen""",Finnish,9,7
1964,6,Austria,Udo Jürgens,"""Warum nur, warum?""",German,11,6
1964,7,France,Rachel,"""Le Chant de Mallory""",French,14,4
1964,8,United Kingdom,Matt Monro,"""I Love the Little Things""",English,17,2
1964,9,Germany,Nora Nova,"""Man gewöhnt sich so schnell an das Schöne""",German,0,13
1964,10,Monaco,Romuald,"""Où sont-elles passées""",French,15,3
1964,11,Portugal,António Calvário,"""Oração""",Portuguese,0,13
1964,12,Italy,Gigliola Cinquetti,"""Non ho l'età""",Italian,49,1
1964,13,Yugoslavia,Sabahudin Kurt,"""Život je sklopio krug"" (Живот је склопио круг)",Serbo-Croatian,0,13
1964,14,Switzerland,Anita Traversi,"""I miei pensieri""",Italian,0,13
1964,15,Belgium,Robert Cogoi,"""Près de ma rivière""",French,2,10
1964,16,Spain,"Tim, Nelly and Tony","""Caracola""",Spanish,1,12
1965,1,Netherlands,Conny Vandenbos,"""'t Is genoeg""",Dutch,5,11
1965,2,United Kingdom,Kathy Kirby,"""I Belong""",English,26,2
1965,3,Spain,Conchita Bautista,"""¡Qué bueno, qué bueno!""",Spanish,0,15
1965,4,Ireland,Butch Moore,"""Walking the Streets in the Rain""",English,11,6
1965,5,Germany,Ulla Wiesner,"""Paradies, wo bist du?""",German,0,15
1965,6,Austria,Udo Jürgens,"""Sag ihr, ich lass sie grüßen""",German,16,4
1965,7,Norway,Kirsti Sparboe,"""Karusell""",Norwegian,1,13
1965,8,Belgium,Lize Marke,"""Als het weer lente is""",Dutch,0,15
1965,9,Monaco,Marjorie Noël,"""Va dire à l'amour""",French,7,9
1965,10,Sweden,Ingvar Wixell,"""Absent Friend""",English,6,10
1965,11,France,Guy Mardel,"""N'avoue jamais""",French,22,3
1965,12,Portugal,Simone de Oliveira,"""Sol de inverno""",Portuguese,1,13
1965,13,Italy,Bobby Solo,"""Se piangi, se ridi""",Italian,15,5
1965,14,Denmark,Birgit Brüel,"""For din skyld""",Danish,10,7
1965,15,Luxembourg,France Gall,"""Poupée de cire, poupée de son""",French,32,1
1965,16,Finland,Viktor Klimenko,"""Aurinko laskee länteen""",Finnish,0,15
1965,17,Yugoslavia,Vice Vukov,"""Čežnja"" (Чежња)",Serbo-Croatian,2,12
1965,18,Switzerland,Yovanna,"""Non, à jamais sans toi""",French,8,8
1966,1,Germany,Margot Eskens,"""Die Zeiger der Uhr""",German,7,10
1966,2,Denmark,Ulla Pia,"""Stop – mens legen er go'""",Danish,4,14
1966,3,Belgium,Tonia,"""Un peu de poivre, un peu de sel""",French,14,4
1966,4,Luxembourg,Michèle Torr,"""Ce soir je t'attendais""",French,7,10
1966,5,Yugoslavia,Berta Ambrož,"""Brez besed""",Slovene,9,7
1966,6,Norway,Åse Kleveland,"""Intet er nytt under solen""",Norwegian,15,3
1966,7,Finland,Ann-Christine Nyström,"""Playboy""",Finnish,7,10
1966,8,Portugal,Madalena Iglésias,"""Ele e ela""",Portuguese,6,13
1966,9,Austria,Udo Jürgens,"""Merci, Chérie""",German,31,1
1966,10,Sweden,Lill Lindfors and Svante Thuresson,"""Nygammal vals""",Swedish,16,2
1966,11,Spain,Raphael,"""Yo soy aquél""",Spanish,9,7
1966,12,Switzerland,Madeleine Pascal,"""Ne vois-tu pas ?""",French,12,6
1966,13,Monaco,Téréza,"""Bien plus fort""",French,0,17
1966,14,Italy,Domenico Modugno,"""Dio, come ti amo""",Italian,0,17
1966,15,France,Dominique Walter,"""Chez nous""",French,1,16
1966,16,Netherlands,Milly Scott,"""Fernando en Filippo""",Dutch,2,15
1966,17,Ireland,Dickie Rock,"""Come Back to Stay""",English,14,4
1966,18,United Kingdom,Kenneth McKellar,"""A Man Without Love""",English,8,9
1967,1,Netherlands,Thérèse Steinmetz,"""Ring-dinge-ding""",Dutch,2,14
1967,2,Luxembourg,Vicky,"""L'amour est bleu""",French,17,4
1967,3,Austria,Peter Horten,"""Warum es hunderttausend Sterne gibt""",German,2,14
1967,4,France,Noëlle Cordier,"""Il doit faire beau là-bas""",French,20,3
1967,5,Portugal,Eduardo Nascimento,"""O vento mudou""",Portuguese,3,12
1967,6,Switzerland,Géraldine,"""Quel cœur vas-tu briser ?""",French,0,17
1967,7,Sweden,Östen Warnerbring,"""Som en dröm""",Swedish,7,8
1967,8,Finland,Fredi,"""Varjoon – suojaan""",Finnish,3,12
1967,9,Germany,Inge Brück,"""Anouschka""",German,7,8
1967,10,Belgium,Louis Neefs,"""Ik heb zorgen""",Dutch,8,7
1967,11,United Kingdom,Sandie Shaw,"""Puppet on a String""",English,47,1
1967,12,Spain,Raphael,"""Hablemos del amor""",Spanish,9,6
1967,13,Norway,Kirsti Sparboe,"""Dukkemann""",Norwegian,2,14
1967,14,Monaco,Minouche Barelli,"""Boum-Badaboum""",French,10,5
1967,15,Yugoslavia,Lado Leskovar,"""Vse rože sveta""",Slovene,7,8
1967,16,Italy,Claudio Villa,"""Non andare più lontano""",Italian,4,11
1967,17,Ireland,Sean Dunphy,"""If I Could Choose""",English,22,2
1968,1,Portugal,Carlos Mendes,"""Verão""",Portuguese,5,11
1968,2,Netherlands,Ronnie Tober,"""Morgen""",Dutch,1,16
1968,3,Belgium,Claude Lombard,"""Quand tu reviendras""",French,8,7
1968,4,Austria,Karel Gott,"""Tausend Fenster""",German,2,13
1968,5,Luxembourg,Chris Baldo and Sophie Garel,"""Nous vivrons d'amour""",French,5,11
1968,6,Switzerland,Gianni Mascolo,"""Guardando il sole""",Italian,2,13
1968,7,Monaco,Line and Willy,"""À chacun sa chanson""",French,8,7
1968,8,Sweden,Claes-Göran Hederström,"""Det börjar verka kärlek, banne mig""",Swedish,15,5
1968,9,Finland,Kristina Hautala,"""Kun kello käy""",Finnish,1,16
1968,10,France,Isabelle Aubret,"""La source""",French,20,3
1968,11,Italy,Sergio Endrigo,"""Marianne""",Italian,7,10
1968,12,United Kingdom,Cliff Richard,"""Congratulations""",English,28,2
1968,13,Norway,Odd Børre,"""Stress""",Norwegian,2,13
1968,14,Ireland,Pat McGeegan,"""Chance of a Lifetime""",English,18,4
1968,15,Spain,Massiel,"""La, la, la""",Spanish,29,1
1968,16,Germany,Wencke Myrhe,"""Ein Hoch der Liebe""",German,11,6
1968,17,Yugoslavia,Luci Capurso and Hamo Hajdarhodžić,"""Jedan dan"" (Један дан)",Serbo-Croatian,8,7
1969,1,Yugoslavia,Ivan and 4M,"""Pozdrav svijetu"" (Поздрав свијету)",Serbo-Croatian,5,13
1969,2,Luxembourg,Romuald,"""Catherine""",French,7,11
1969,3,Spain,Salomé,"""Vivo cantando""",Spanish,18,1
1969,4,Monaco,Jean Jacques,"""Maman, maman""",French,11,6
1969,5,Ireland,Muriel Day and the Lindsays,"""The Wages of Love""",English,10,7
1969,6,Italy,Iva Zanicchi,"""Due grosse lacrime bianche""",Italian,5,13
1969,7,United Kingdom,Lulu,"""Boom Bang-a-Bang""",English,18,1
1969,8,Netherlands,Lenny Kuhr,"""De troubadour""",Dutch,18,1
1969,9,Sweden,Tommy Körberg,"""Judy, min vän""",Swedish,8,9
1969,10,Belgium,Louis Neefs,"""Jennifer Jennings""",Dutch,10,7
1969,11,Switzerland,Paola del Medico,"""Bonjour, Bonjour""",German,13,5
1969,12,Norway,Kirsti Sparboe,"""Oj, oj, oj, så glad jeg skal bli""",Norwegian,1,16
1969,13,Germany,Siw Malmkvist,"""Primaballerina""",German,8,9
1969,14,France,Frida Boccara,"""Un jour, un enfant""",French,18,1
1969,15,Portugal,Simone de Oliveira,"""Desfolhada portuguesa""",Portuguese,4,15
